	samples	K	cluster
57	TCGA.44.7670.01A	3	3
58	TCGA.44.7671.01A	3	2
59	TCGA.44.7672.01A	3	2
60	TCGA.44.8117.01A	3	2
61	TCGA.44.8119.01A	3	2
62	TCGA.44.8120.01A	3	1
63	TCGA.44.A479.01A	3	2
64	TCGA.44.A47A.01A	3	3
65	TCGA.44.A47B.01A	3	3
66	TCGA.44.A47G.01A	3	2
67	TCGA.44.A4SS.01A	3	1
68	TCGA.44.A4SU.01A	3	3
69	TCGA.49.4487.01A	3	3
70	TCGA.49.4488.01A	3	3
71	TCGA.49.4490.01A	3	2
72	TCGA.49.4512.01A	3	3
73	TCGA.49.4514.01A	3	1
74	TCGA.49.6742.01A	3	3
75	TCGA.49.6743.01A	3	1
76	TCGA.49.6744.01A	3	1
77	TCGA.49.6745.01A	3	2
78	TCGA.49.6745.11A	3	1
79	TCGA.49.6761.01A	3	2
80	TCGA.49.6767.01A	3	1
81	TCGA.49.AAQV.01A	3	2
82	TCGA.49.AAR0.01A	3	1
83	TCGA.49.AAR2.01A	3	2
84	TCGA.49.AAR3.01A	3	2
85	TCGA.49.AAR4.01A	3	1
86	TCGA.49.AAR9.01A	3	1
87	TCGA.49.AARE.01A	3	2
88	TCGA.49.AARN.01A	3	2
89	TCGA.49.AARO.01A	3	1
90	TCGA.49.AARQ.01A	3	2
91	TCGA.49.AARR.01A	3	3
92	TCGA.4B.A93V.01A	3	3
93	TCGA.50.5044.01A	3	3
94	TCGA.50.5045.01A	3	3
95	TCGA.50.5049.01A	3	3
96	TCGA.50.5051.01A	3	3
97	TCGA.50.5055.01A	3	3
98	TCGA.50.5066.01A	3	3
99	TCGA.50.5066.02A	3	3
100	TCGA.50.5068.01A	3	3
101	TCGA.50.5072.01A	3	2
102	TCGA.50.5930.01A	3	1
103	TCGA.50.5930.11A	3	1
104	TCGA.50.5931.01A	3	2
105	TCGA.50.5932.01A	3	2
106	TCGA.50.5932.11A	3	3
107	TCGA.50.5933.01A	3	1
108	TCGA.50.5933.11A	3	2
109	TCGA.50.5935.01A	3	1
110	TCGA.50.5936.01A	3	3
111	TCGA.50.5939.01A	3	2
112	TCGA.50.5941.01A	3	1
113	TCGA.50.5942.01A	3	1
114	TCGA.50.5944.01A	3	1
115	TCGA.50.5946.01A	3	2
116	TCGA.50.5946.02A	3	1
117	TCGA.50.6590.01A	3	3
118	TCGA.50.6591.01A	3	3
119	TCGA.50.6592.01A	3	3
120	TCGA.50.6593.01A	3	3
121	TCGA.50.6594.01A	3	1
122	TCGA.50.6595.01A	3	3
123	TCGA.50.6597.01A	3	3
124	TCGA.50.6673.01A	3	2
125	TCGA.50.7109.01A	3	3
126	TCGA.50.8457.01A	3	3
127	TCGA.50.8459.01A	3	3
128	TCGA.50.8460.01A	3	2
129	TCGA.53.7624.01A	3	3
130	TCGA.53.7626.01A	3	1
131	TCGA.53.7813.01A	3	3
132	TCGA.53.A4EZ.01A	3	3
133	TCGA.55.5899.01A	3	3
134	TCGA.55.6543.01A	3	3
135	TCGA.55.6642.01A	3	1
136	TCGA.55.6712.01A	3	3
137	TCGA.55.6968.01A	3	2
138	TCGA.55.6969.01A	3	3
139	TCGA.55.6970.01A	3	1
140	TCGA.55.6971.01A	3	3
141	TCGA.55.6972.01A	3	1
142	TCGA.55.6978.01A	3	3
143	TCGA.55.6979.01A	3	2
144	TCGA.55.6980.01A	3	3
145	TCGA.55.6981.01A	3	1
146	TCGA.55.6982.01A	3	1
147	TCGA.55.6983.01A	3	2
148	TCGA.55.6984.01A	3	1
149	TCGA.55.6985.01A	3	2
150	TCGA.55.6986.01A	3	1
151	TCGA.55.6987.01A	3	3
152	TCGA.55.7227.01A	3	2
153	TCGA.55.7281.01A	3	1
154	TCGA.55.7283.01A	3	1
155	TCGA.55.7284.01B	3	2
156	TCGA.55.7570.01A	3	2
157	TCGA.55.7573.01A	3	3
158	TCGA.55.7574.01A	3	3
159	TCGA.55.7576.01A	3	1
160	TCGA.55.7724.01A	3	2
161	TCGA.55.7725.01A	3	3
162	TCGA.55.7726.01A	3	1
163	TCGA.55.7727.01A	3	3
164	TCGA.55.7728.01A	3	1
165	TCGA.55.7815.01A	3	1
166	TCGA.55.7816.01A	3	2
167	TCGA.55.7903.01A	3	2
168	TCGA.55.7907.01A	3	2
169	TCGA.55.7910.01A	3	3
170	TCGA.55.7911.01A	3	1
171	TCGA.55.7913.01B	3	3
172	TCGA.55.7914.01A	3	3
173	TCGA.55.7994.01A	3	3
174	TCGA.55.7995.01A	3	1
175	TCGA.55.8085.01A	3	2
176	TCGA.55.8087.01A	3	1
177	TCGA.55.8089.01A	3	3
178	TCGA.55.8090.01A	3	3
179	TCGA.55.8091.01A	3	3
180	TCGA.55.8092.01A	3	2
181	TCGA.55.8094.01A	3	3
182	TCGA.55.8096.01A	3	1
183	TCGA.55.8097.01A	3	2
184	TCGA.55.8203.01A	3	1
185	TCGA.55.8204.01A	3	3
186	TCGA.55.8205.01A	3	1
187	TCGA.55.8206.01A	3	3
188	TCGA.55.8207.01A	3	3
189	TCGA.55.8208.01A	3	3
190	TCGA.55.8299.01A	3	1
191	TCGA.55.8301.01A	3	2
192	TCGA.55.8302.01A	3	3
193	TCGA.55.8505.01A	3	2
194	TCGA.55.8506.01A	3	1
195	TCGA.55.8507.01A	3	3
196	TCGA.55.8508.01A	3	2
197	TCGA.55.8510.01A	3	2
198	TCGA.55.8511.01A	3	3
199	TCGA.55.8512.01A	3	1
200	TCGA.55.8513.01A	3	1
201	TCGA.55.8514.01A	3	3
202	TCGA.55.8614.01A	3	3
203	TCGA.55.8615.01A	3	1
204	TCGA.55.8616.01A	3	1
205	TCGA.55.8619.01A	3	1
206	TCGA.55.8620.01A	3	2
207	TCGA.55.8621.01A	3	1
208	TCGA.55.A48X.01A	3	1
209	TCGA.55.A48Y.01A	3	1
210	TCGA.55.A48Z.01A	3	3
211	TCGA.55.A490.01A	3	2
212	TCGA.55.A491.01A	3	3
213	TCGA.55.A492.01A	3	2
214	TCGA.55.A493.01A	3	1
215	TCGA.55.A494.01A	3	2
216	TCGA.55.A4DF.01A	3	3
217	TCGA.55.A4DG.01A	3	1
218	TCGA.55.A57B.01A	3	2
219	TCGA.62.8394.01A	3	2
220	TCGA.62.8395.01A	3	1
221	TCGA.62.8397.01A	3	2
222	TCGA.62.8398.01A	3	1
223	TCGA.62.8399.01A	3	3
224	TCGA.62.8402.01A	3	1
225	TCGA.62.A46O.01A	3	2
226	TCGA.62.A46P.01A	3	1
227	TCGA.62.A46R.01A	3	2
228	TCGA.62.A46S.01A	3	2
229	TCGA.62.A46U.01A	3	3
230	TCGA.62.A46V.01A	3	2
231	TCGA.62.A46Y.01A	3	3
232	TCGA.62.A470.01A	3	1
233	TCGA.62.A471.01A	3	2
234	TCGA.62.A472.01A	3	1
235	TCGA.64.1679.01A	3	3
236	TCGA.64.1681.01A	3	2
237	TCGA.64.5774.01A	3	1
238	TCGA.64.5775.01A	3	1
239	TCGA.64.5778.01A	3	2
240	TCGA.64.5779.01A	3	2
241	TCGA.64.5781.01A	3	3
242	TCGA.64.5815.01A	3	1
243	TCGA.67.4679.01B	3	3
244	TCGA.67.6215.01A	3	3
245	TCGA.67.6216.01A	3	1
246	TCGA.67.6217.01A	3	2
247	TCGA.69.7760.01A	3	3
248	TCGA.69.7761.01A	3	2
249	TCGA.69.7763.01A	3	1
250	TCGA.69.7764.01A	3	2
251	TCGA.69.7765.01A	3	2
252	TCGA.69.7973.01A	3	2
253	TCGA.69.7974.01A	3	3
254	TCGA.69.7978.01A	3	3
255	TCGA.69.7979.01A	3	3
256	TCGA.69.7980.01A	3	2
257	TCGA.69.8253.01A	3	2
258	TCGA.69.8254.01A	3	3
259	TCGA.69.8255.01A	3	1
260	TCGA.69.8453.01A	3	2
261	TCGA.69.A59K.01A	3	1
262	TCGA.71.6725.01A	3	3
263	TCGA.71.8520.01A	3	1
264	TCGA.73.4658.01A	3	3
265	TCGA.73.4676.01A	3	1
266	TCGA.73.7498.01A	3	2
267	TCGA.73.7499.01A	3	1
268	TCGA.73.A9RS.01A	3	1
269	TCGA.75.5122.01A	3	2
270	TCGA.75.5125.01A	3	1
271	TCGA.75.5126.01A	3	2
272	TCGA.75.5146.01A	3	3
273	TCGA.75.5147.01A	3	2
274	TCGA.75.6203.01A	3	3
275	TCGA.75.6205.01A	3	2
276	TCGA.75.6206.01A	3	2
277	TCGA.75.6207.01A	3	3
278	TCGA.75.6211.01A	3	2
279	TCGA.75.6212.01A	3	1
280	TCGA.75.6214.01A	3	2
281	TCGA.75.7025.01A	3	2
282	TCGA.75.7027.01A	3	2
283	TCGA.75.7030.01A	3	2
284	TCGA.75.7031.01A	3	3
285	TCGA.78.7143.01A	3	2
286	TCGA.78.7145.01A	3	2
287	TCGA.78.7146.01A	3	1
288	TCGA.78.7147.01A	3	3
289	TCGA.78.7148.01A	3	2
290	TCGA.78.7149.01A	3	1
291	TCGA.78.7150.01A	3	2
292	TCGA.78.7152.01A	3	3
293	TCGA.78.7153.01A	3	3
294	TCGA.78.7154.01A	3	1
295	TCGA.78.7155.01A	3	2
296	TCGA.78.7156.01A	3	3
297	TCGA.78.7158.01A	3	2
298	TCGA.78.7159.01A	3	1
299	TCGA.78.7160.01A	3	2
300	TCGA.78.7161.01A	3	2
301	TCGA.78.7162.01A	3	3
302	TCGA.78.7163.01A	3	2
303	TCGA.78.7166.01A	3	3
304	TCGA.78.7167.01A	3	3
305	TCGA.78.7220.01A	3	1
306	TCGA.78.7535.01A	3	1
307	TCGA.78.7536.01A	3	3
308	TCGA.78.7537.01A	3	3
309	TCGA.78.7539.01A	3	1
310	TCGA.78.7540.01A	3	3
311	TCGA.78.7542.01A	3	3
312	TCGA.78.7633.01A	3	1
313	TCGA.78.8640.01A	3	2
314	TCGA.78.8648.01A	3	1
315	TCGA.78.8655.01A	3	1
316	TCGA.78.8660.01A	3	2
317	TCGA.78.8662.01A	3	3
318	TCGA.80.5607.01A	3	2
319	TCGA.80.5608.01A	3	2
320	TCGA.80.5611.01A	3	3
321	TCGA.83.5908.01A	3	1
322	TCGA.86.6562.01A	3	3
323	TCGA.86.6851.01A	3	2
324	TCGA.86.7701.01A	3	3
325	TCGA.86.7711.01A	3	3
326	TCGA.86.7713.01A	3	3
327	TCGA.86.7714.01A	3	2
328	TCGA.86.7953.01A	3	2
329	TCGA.86.7954.01A	3	2
330	TCGA.86.7955.01A	3	3
331	TCGA.86.8054.01A	3	2
332	TCGA.86.8055.01A	3	3
333	TCGA.86.8056.01A	3	3
334	TCGA.86.8073.01A	3	3
335	TCGA.86.8074.01A	3	2
336	TCGA.86.8075.01A	3	3
337	TCGA.86.8076.01A	3	2
338	TCGA.86.8278.01A	3	1
339	TCGA.86.8279.01A	3	1
340	TCGA.86.8280.01A	3	1
341	TCGA.86.8281.01A	3	2
342	TCGA.86.8358.01A	3	2
343	TCGA.86.8359.01A	3	2
344	TCGA.86.8585.01A	3	2
345	TCGA.86.8668.01A	3	1
346	TCGA.86.8669.01A	3	3
347	TCGA.86.8671.01A	3	1
348	TCGA.86.8672.01A	3	2
349	TCGA.86.8673.01A	3	2
350	TCGA.86.8674.01A	3	1
351	TCGA.86.A456.01A	3	3
352	TCGA.86.A4D0.01A	3	3
353	TCGA.86.A4JF.01A	3	3
354	TCGA.86.A4P7.01A	3	3
355	TCGA.86.A4P8.01A	3	2
356	TCGA.91.6828.01A	3	2
357	TCGA.91.6829.01A	3	1
358	TCGA.91.6830.01A	3	1
359	TCGA.91.6831.01A	3	2
360	TCGA.91.6835.01A	3	1
361	TCGA.91.6836.01A	3	2
362	TCGA.91.6840.01A	3	1
363	TCGA.91.6847.01A	3	3
364	TCGA.91.6848.01A	3	3
365	TCGA.91.6849.01A	3	2
366	TCGA.91.7771.01A	3	3
367	TCGA.91.8496.01A	3	1
368	TCGA.91.8497.01A	3	3
369	TCGA.91.8499.01A	3	2
370	TCGA.91.A4BC.01A	3	2
371	TCGA.91.A4BD.01A	3	2
372	TCGA.93.7347.01A	3	1
373	TCGA.93.7348.01A	3	3
374	TCGA.93.8067.01A	3	1
375	TCGA.93.A4JN.01A	3	3
376	TCGA.93.A4JO.01A	3	2
377	TCGA.93.A4JP.01A	3	1
378	TCGA.93.A4JQ.01A	3	3
379	TCGA.95.7039.01A	3	3
380	TCGA.95.7043.01A	3	3
381	TCGA.95.7562.01A	3	2
382	TCGA.95.7567.01A	3	2
383	TCGA.95.7944.01A	3	1
384	TCGA.95.7947.01A	3	2
385	TCGA.95.7948.01A	3	2
386	TCGA.95.8039.01A	3	1
387	TCGA.95.8494.01A	3	3
388	TCGA.95.A4VK.01A	3	3
389	TCGA.95.A4VN.01A	3	2
390	TCGA.95.A4VP.01A	3	2
391	TCGA.97.7546.01A	3	3
392	TCGA.97.7547.01A	3	1
393	TCGA.97.7552.01A	3	2
394	TCGA.97.7553.01A	3	2
395	TCGA.97.7554.01A	3	2
396	TCGA.97.7937.01A	3	2
397	TCGA.97.7938.01A	3	2
398	TCGA.97.7941.01A	3	2
399	TCGA.97.8171.01A	3	3
400	TCGA.97.8172.01A	3	1
401	TCGA.97.8174.01A	3	3
402	TCGA.97.8175.01A	3	1
403	TCGA.97.8176.01A	3	2
404	TCGA.97.8177.01A	3	3
405	TCGA.97.8179.01A	3	1
406	TCGA.97.8547.01A	3	1
407	TCGA.97.8552.01A	3	2
408	TCGA.97.A4LX.01A	3	1
409	TCGA.97.A4M0.01A	3	1
410	TCGA.97.A4M1.01A	3	2
411	TCGA.97.A4M2.01A	3	2
412	TCGA.97.A4M3.01A	3	3
413	TCGA.97.A4M5.01A	3	2
414	TCGA.97.A4M6.01A	3	2
415	TCGA.97.A4M7.01A	3	3
416	TCGA.99.7458.01A	3	3
417	TCGA.99.8025.01A	3	3
418	TCGA.99.8028.01A	3	3
419	TCGA.99.8032.01A	3	2
420	TCGA.99.8033.01A	3	2
421	TCGA.99.AA5R.01A	3	3
422	TCGA.J2.8192.01A	3	3
423	TCGA.J2.8194.01A	3	2
424	TCGA.J2.A4AD.01A	3	3
425	TCGA.J2.A4AE.01A	3	3
426	TCGA.J2.A4AG.01A	3	2
427	TCGA.L4.A4E5.01A	3	3
428	TCGA.L4.A4E6.01A	3	1
429	TCGA.L9.A443.01A	3	3
430	TCGA.L9.A444.01A	3	3
431	TCGA.L9.A50W.01A	3	1
432	TCGA.L9.A5IP.01A	3	2
433	TCGA.L9.A743.01A	3	1
434	TCGA.L9.A7SV.01A	3	3
435	TCGA.L9.A8F4.01A	3	3
436	TCGA.MN.A4N1.01A	3	1
437	TCGA.MN.A4N4.01A	3	2
438	TCGA.MN.A4N5.01A	3	2
439	TCGA.MP.A4SV.01A	3	3
440	TCGA.MP.A4SW.01A	3	1
441	TCGA.MP.A4SY.01A	3	1
442	TCGA.MP.A4T4.01A	3	1
443	TCGA.MP.A4T6.01A	3	3
444	TCGA.MP.A4T7.01A	3	1
445	TCGA.MP.A4T8.01A	3	1
446	TCGA.MP.A4T9.01A	3	3
447	TCGA.MP.A4TA.01A	3	3
448	TCGA.MP.A4TC.01A	3	1
449	TCGA.MP.A4TD.01A	3	2
450	TCGA.MP.A4TE.01A	3	1
451	TCGA.MP.A4TF.01A	3	2
452	TCGA.MP.A4TH.01A	3	1
453	TCGA.MP.A4TI.01A	3	1
454	TCGA.MP.A4TJ.01A	3	1
455	TCGA.MP.A4TK.01A	3	1
456	TCGA.MP.A5C7.01A	3	1
457	TCGA.NJ.A4YF.01A	3	2
458	TCGA.NJ.A4YG.01A	3	1
459	TCGA.NJ.A4YI.01A	3	1
460	TCGA.NJ.A4YP.01A	3	3
461	TCGA.NJ.A4YQ.01A	3	1
462	TCGA.NJ.A55A.01A	3	2
463	TCGA.NJ.A55O.01A	3	2
464	TCGA.NJ.A55R.01A	3	1
465	TCGA.NJ.A7XG.01A	3	3
466	TCGA.O1.A52J.01A	3	1
467	TCGA.S2.AA1A.01A	3	2
