	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
cg03630344	0.04	0.04	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.05	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.05	0.04	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.05	0.04	0.05	0.03	0.05	0.04	0.04	0.03	0.04	0.03	0.04	0.03	0.04	0.03
cg06487986	0.04	0.03	0.04	0.04	0.04	0.03	0.06	0.04	0.05	0.03	0.05	0.27	0.03	0.04	0.65	0.05	0.04	0.03	0.05	0.04	0.04	0.03	0.04	0.03	0.05	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.03	0.05	0.03	0.03	0.03	0.06	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.05	0.04	0.11	0.06	0.04	0.05	0.04	0.1	0.04	0.03	0.12	0.04	0.04	0.04	0.03	0.04	0.03	0.21	0.04
cg12711814	0.22	0.08	0.09	0.07	0.1	0.09	0.08	0.13	0.09	0.1	0.16	0.06	0.08	0.06	0.07	0.1	0.14	0.37	0.09	0.09	0.11	0.1	0.08	0.08	0.18	0.08	0.09	0.61	0.08	0.34	0.1	0.19	0.08	0.09	0.09	0.07	0.07	0.07	0.07	0.07	0.07	0.09	0.09	0.08	0.08	0.07	0.16	0.09	0.08	0.07	0.08	0.1	0.18	0.08	0.09	0.11	0.5	0.08	0.15	0.06	0.08	0.09	0.06	0.08	0.09	0.07	0.46	0.08	0.08	0.09	0.07	0.08	0.07	0.07	0.08	0.08	0.11	0.06	0.12
cg10429262	0.08	0.11	0.06	0.07	0.08	0.06	0.07	0.11	0.08	0.05	0.07	0.07	0.08	0.06	0.06	0.06	0.06	0.1	0.08	0.07	0.07	0.08	0.06	0.06	0.08	0.05	0.06	0.07	0.11	0.07	0.07	0.07	0.07	0.06	0.07	0.06	0.09	0.07	0.07	0.08	0.06	0.07	0.06	0.08	0.08	0.06	0.07	0.07	0.09	0.07	0.1	0.07	0.07	0.07	0.06	0.06	0.08	0.09	0.06	0.09	0.06	0.07	0.07	0.12	0.08	0.07	0.08	0.09	0.06	0.07	0.07	0.06	0.07	0.06	0.07	0.06	0.06	0.28	0.07
cg26985289	0.36	0.02	0.02	0.02	0.02	0.75	0.02	0.71	0.02	0.02	0.09	0.03	0.57	0.02	0.01	0.03	0.29	0.03	0.02	0.02	0.06	0.64	0.03	0.02	0.03	0.02	0.03	0.02	0.02	0.48	0.02	0.49	0.02	0.47	0.03	0.02	0.59	0.02	0.02	0.07	0.02	0.03	0.01	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.82	0.02	0.02	0.02	0.02	0.06	0.03	0.02	0.03	0.02	0.03	0.02	0.04	0.83	0.02	0.21	0.02	0.03	0.02	0.02	0.58	0.1
cg06615861	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
cg20739510	0.04	0.04	0.04	0.03	0.37	0.05	0.08	0.04	0.07	0.38	0.04	0.04	0.05	0.05	0.05	0.05	0.02	0.07	0.04	0.04	0.03	0.04	0.06	0.04	0.05	0.05	0.06	0.04	0.05	0.04	0.05	0.03	0.03	0.04	0.05	0.03	0.04	0.06	0.05	0.07	0.03	0.04	0.06	0.04	0.03	0.04	0.04	0.12	0.05	0.03	0.06	0.07	0.04	0.05	0.04	0.03	0.04	0.05	0.04	0.03	0.05	0.06	0.06	0.08	0.42	0.05	0.06	0.04	0.04	0.04	0.13	0.04	0.32	0.12	0.05	0.05	0.08	0.05	0.04
cg10891879	0.05	0.05	0.05	0.05	0.06	0.04	0.35	0.05	0.04	0.07	0.06	0.04	0.03	0.06	0.06	0.1	0.05	0.06	0.05	0.04	0.05	0.04	0.05	0.06	0.04	0.05	0.05	0.05	0.06	0.03	0.06	0.79	0.05	0.04	0.43	0.04	0.04	0.05	0.05	0.04	0.06	0.05	0.05	0.04	0.05	0.04	0.08	0.05	0.06	0.07	0.05	0.05	0.04	0.05	0.05	0.05	0.03	0.05	0.05	0.04	0.05	0.05	0.05	0.04	0.06	0.05	0.05	0.04	0.06	0.07	0.1	0.06	0.06	0.05	0.06	0.07	0.03	0.05	0.09
cg06963844	0.08	0.07	0.06	0.08	0.07	0.05	0.5	0.07	0.06	0.07	0.08	0.08	0.09	0.09	0.07	0.07	0.09	0.12	0.08	0.06	0.06	0.06	0.07	0.07	0.07	0.06	0.08	0.07	0.07	0.09	0.08	0.95	0.06	0.07	0.06	0.06	0.06	0.1	0.06	0.06	0.06	0.08	0.08	0.05	0.06	0.06	0.07	0.08	0.07	0.07	0.09	0.07	0.08	0.07	0.06	0.09	0.09	0.06	0.08	0.07	0.07	0.07	0.08	0.13	0.07	0.08	0.06	0.08	0.06	0.06	0.06	0.09	0.06	0.06	0.06	0.07	0.06	0.07	0.06
cg20164720	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.03	0.04	0.34	0.04	0.06	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.05	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.03	0.03	0.03	0.04	0.03	0.05	0.03	0.03	0.05	0.03	0.03	0.03	0.03	0.06	0.03	0.04	0.03	0.03	0.03	0.04	0.05	0.03	0.04	0.03	0.18	0.04	0.03	0.03	0.06	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.06
cg22927043	0.05	0.06	0.06	0.04	0.05	0.05	0.11	0.05	0.13	0.07	0.06	0.06	0.05	0.09	0.07	0.06	0.06	0.09	0.09	0.05	0.08	0.09	0.1	0.08	0.07	0.05	0.12	0.05	0.06	0.05	0.06	0.07	0.09	0.06	0.07	0.07	0.05	0.07	0.07	0.06	0.05	0.06	0.1	0.05	0.04	0.05	0.07	0.06	0.06	0.05	0.09	0.07	0.06	0.04	0.05	0.06	0.07	0.04	0.04	0.07	0.07	0.06	0.11	0.14	0.05	0.1	0.12	0.08	0.04	0.1	0.04	0.05	0.07	0.34	0.06	0.05	0.07	0.26	0.04
cg13836770	0.15	0.04	0.04	0.03	0.04	0.04	0.05	0.04	0.15	0.11	0.05	0.18	0.04	0.04	0.04	0.06	0.07	0.04	0.04	0.04	0.1	0.05	0.11	0.05	0.11	0.03	0.04	0.67	0.05	0.03	0.03	0.03	0.04	0.05	0.09	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.03	0.04	0.06	0.04	0.09	0.03	0.05	0.21	0.05	0.03	0.03	0.05	0.03	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.05	0.06	0.04	0.04	0.05	0.03	0.03	0.05	0.46	0.04	0.05	0.14	0.04	0.04	0.34	0.04	0.04
cg09229231	0.05	0.07	0.05	0.06	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.04	0.05	0.04	0.06	0.05	0.06	0.05	0.05	0.04	0.05	0.04	0.07	0.05	0.04	0.06	0.06	0.05	0.05	0.04	0.04	0.93	0.05	0.04	0.03	0.04	0.04	0.05	0.05	0.03	0.05	0.05	0.08	0.04	0.05	0.04	0.06	0.05	0.06	0.04	0.05	0.04	0.04	0.06	0.05	0.04	0.06	0.52	0.06	0.04	0.05	0.05	0.04	0.05	0.06	0.04	0.04	0.05	0.04	0.05	0.04	0.05	0.05	0.06	0.04	0.05	0.06	0.04	0.07
cg20375690	0.04	0.04	0.04	0.04	0.05	0.04	0.05	0.18	0.04	0.04	0.05	0.03	0.04	0.04	0.03	0.05	0.05	0.05	0.04	0.04	0.04	0.05	0.05	0.05	0.04	0.04	0.03	0.04	0.03	0.05	0.04	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.05	0.03	0.03	0.04	0.04	0.07	0.04	0.04	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.06	0.03	0.04	0.04	0.04	0.03	0.03	0.05	0.09	0.03	0.03	0.05	0.04	0.03	0.04	0.04	0.05	0.07	0.04	0.05	0.06
cg24535573	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
cg05588972	0.09	0.09	0.09	0.13	0.11	0.17	0.17	0.09	0.14	0.18	0.12	0.08	0.17	0.1	0.1	0.09	0.12	0.1	0.08	0.1	0.1	0.11	0.09	0.09	0.08	0.08	0.09	0.08	0.09	0.1	0.1	0.1	0.09	0.14	0.12	0.09	0.1	0.08	0.11	0.12	0.1	0.14	0.08	0.09	0.08	0.07	0.15	0.12	0.09	0.09	0.08	0.13	0.1	0.11	0.1	0.09	0.1	0.11	0.17	0.09	0.08	0.11	0.08	0.09	0.12	0.08	0.18	0.09	0.1	0.11	0.08	0.11	0.1	0.09	0.1	0.12	0.1	0.1	0.39
cg19282714	0.43	0.02	0.02	0.02	0.01	0.63	0.16	0.71	0.02	0.02	0.27	0.02	0.67	0.02	0.02	0.05	0.03	0.02	0.02	0.58	0.02	0.69	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.91	0.02	0.51	0.02	0.02	0.76	0.08	0.02	0.88	0.02	0.02	0.02	0.02	0.02	0.83	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.11	0.84	0.02	0.02	0.02	0.02	0.25	0.03	0.03	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.46	0.02
cg15185794	0.45	0.08	0.09	0.19	0.09	0.5	0.16	0.75	0.07	0.1	0.38	0.08	0.71	0.08	0.17	0.4	0.22	0.09	0.08	0.56	0.11	0.7	0.08	0.07	0.12	0.23	0.06	0.56	0.08	0.07	0.1	0.49	0.12	0.39	0.14	0.08	0.72	0.37	0.19	0.58	0.09	0.08	0.42	0.06	0.09	0.69	0.12	0.13	0.11	0.07	0.13	0.12	0.11	0.09	0.08	0.09	0.25	0.84	0.07	0.09	0.08	0.07	0.19	0.12	0.15	0.13	0.23	0.05	0.4	0.24	0.09	0.54	0.21	0.22	0.53	0.09	0.12	0.41	0.07
cg05380570	0.05	0.05	0.05	0.05	0.05	0.07	0.05	0.04	0.05	0.04	0.15	0.06	0.05	0.07	0.04	0.05	0.06	0.06	0.07	0.04	0.05	0.05	0.06	0.05	0.04	0.04	0.07	0.05	0.05	0.05	0.04	0.04	0.04	0.05	0.06	0.06	0.06	0.06	0.04	0.06	0.05	0.07	0.05	0.04	0.04	0.05	0.04	0.05	0.06	0.04	0.06	0.05	0.05	0.11	0.04	0.05	0.33	0.04	0.05	0.05	0.06	0.05	0.06	0.06	0.39	0.07	0.04	0.07	0.04	0.04	0.06	0.06	0.06	0.06	0.05	0.11	0.04	0.05	0.04
cg21728447	0.05	0.06	0.07	0.06	0.06	0.06	0.07	0.06	0.05	0.07	0.08	0.06	0.06	0.07	0.06	0.07	0.08	0.05	0.06	0.06	0.06	0.06	0.07	0.06	0.06	0.09	0.08	0.06	0.08	0.05	0.07	0.07	0.06	0.07	0.04	0.07	0.07	0.07	0.07	0.06	0.07	0.07	0.06	0.06	0.04	0.06	0.06	0.06	0.07	0.08	0.06	0.05	0.06	0.07	0.05	0.06	0.07	0.05	0.06	0.07	0.05	0.05	0.06	0.05	0.07	0.08	0.07	0.06	0.06	0.06	0.06	0.05	0.06	0.06	0.06	0.07	0.08	0.07	0.1
cg22614355	0.06	0.07	0.06	0.07	0.06	0.07	0.06	0.08	0.07	0.09	0.06	0.07	0.04	0.06	0.05	0.06	0.05	0.1	0.07	0.05	0.07	0.04	0.08	0.06	0.07	0.08	0.07	0.06	0.05	0.05	0.06	0.07	0.06	0.07	0.07	0.05	0.06	0.06	0.06	0.07	0.06	0.07	0.06	0.05	0.06	0.05	0.07	0.06	0.06	0.07	0.06	0.06	0.06	0.06	0.07	0.07	0.05	0.04	0.08	0.07	0.06	0.06	0.07	0.07	0.06	0.08	0.05	0.05	0.04	0.05	0.05	0.09	0.07	0.22	0.07	0.06	0.08	0.06	0.07
cg19976467	0.06	0.06	0.06	0.05	0.07	0.05	0.1	0.07	0.06	0.08	0.07	0.05	0.06	0.05	0.07	0.07	0.06	0.05	0.05	0.06	0.08	0.06	0.07	0.06	0.06	0.06	0.06	0.07	0.07	0.06	0.07	0.08	0.07	0.07	0.07	0.05	0.07	0.06	0.05	0.07	0.05	0.06	0.07	0.05	0.06	0.05	0.06	0.06	0.04	0.06	0.06	0.07	0.08	0.05	0.07	0.07	0.04	0.06	0.07	0.06	0.06	0.06	0.06	0.07	0.06	0.05	0.06	0.05	0.06	0.06	0.05	0.06	0.07	0.06	0.06	0.08	0.07	0.06	0.07
cg11904887	0.02	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.14	0.03	0.03	0.03	0.03	0.02
cg22190291	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.01
cg02729506	0.05	0.06	0.05	0.04	0.06	0.04	0.06	0.05	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.05	0.05	0.04	0.03	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.06	0.05	0.04	0.03	0.06	0.04	0.05	0.05	0.04	0.05	0.05	0.04	0.05	0.04	0.05	0.05	0.04	0.04	0.05	0.05	0.05	0.05	0.06	0.04	0.05
